student id,EnrollmentYear ,EXAM_year, UniversityName,Home-City,major ,GENDER,ScholarshipStatus,SocioEconomic_status,PartTime job,StudyHours/Week,Tutoring_Hours_per_week,attendance rate,SleepHours,priorGPA,examScore 
TR00001,2020,2021,Yildiz Technical University,Ankara,Economics,Female,NO,Middle,No,16.5,NA,0.788,6.22,2.37,86.0
TR00002,2016,2018,Bilkent University,Antalya,Law,male,No,Middle,No,26.2,1.8,0.817,7.92,2.92,100.0
TR00003,2019,2019,Hacettepe University,Izmir,Enginering,Female,No,Low,Yes,25.2,3.5,0.759,4.97,2.87,100.0
TR00004,2017,2021,Istanbul University,Konya,Architecture,Male,No,Low,Yes,14.2,3.7,0.646,6.4,2.98,87.9
TR00005,2015,2017,yildiz technical university,Eskisehir,Computer Science,Female,No,Middle,No,16.4,1.1,0.907,6.81,2.81,94.9
TR00006,2016,2019,Koc University,Antalya,Business,Male,No,Middle,Yes,10.3,0.5,0.752,7.18,2.42,76.8
TR00007,NA,2019,Bogazici University,Gaziantep,Engineering,Male,No,Middle,No,19.6,3.6,0.972,7.04,2.63,90.1
TR00008,2021,2021,Istanbul University,Istanbul,Psychology,Male,no,Low,No,24.6,0.0,0.854,7.1,3.01,100.0
TR00009,2015,2016,Ankara University,İzmir,Education,Female,No ,NA,No,17.0,1.6,0.618,6.88,2.36,81.8
TR00010,2017,2017,Ankara University,Izmir,Computer Science,Female,Yes,High,No,25.1,3.6,0.737,7.55,2.44,91.3
TR00011,2018,2021,Ege University,Kayseri,Medicine,Male,No,High,No,31.6,1.2,0.648,7.15,2.61,94.7
TR00012,NA,2017,Gazi University,Antalya,Business,Female,No,High,No,17.2,0.5,0.716,6.79,2.21,75.3
TR00013,2015,2017,Ege University,Samsun,Engineering,Male,Yes,Middle,No,13.3,5.2,0.709,7.81,3.47,86.1
TR00014,2018,2019,Koc University,Kayseri,Engineering,Female,Yes,middle,No,28.4,3.9,0.86,8.34,3.25,100.0
TR00015,2015,2018,Bilkent University,Trabzon,Education,Female,Yes,Middle,Yes,8.8,1.7,0.765,6.49,3.44,86.7
TR00016,2016,2017,Istanbul University,Kayseri,Computer Science,Male,No,Low,No,21.6,4.8,0.879,8.23,2.99,100.0
TR00017,2016,2020,Gazi University, Istanbul,Law,Male,No,Middle,No,17.2,4.7,0.817,6.56,3.45,100.0
TR00018,2017,2019,Hacettepe University,Ankara,Psychology,Male,No,Middle,No,18.5,1.3,0.801,8.11,2.98,99.9
TR00019,2015,2016,Bogazici University,Antalya,Law,Male,No, Low,Yes,18.8,1.7,0.93,6.29,NA,100.0
TR00020,2016,2018,Istanbul University,Bursa,Business,Female,No,NA,Yes,7.1,2.8,0.788,7.69,1.67,65.0
TR00021,2018,2020,Ege University,Eskisehir,Econnomics,Male,No,High,No,20.5,1.1,0.814,7.07,2.5,89.6
TR00022,2020,2020,METU,Kayseri!,Architecture,Female,NO,Low,Yes,16.3,1.1,0.702,5.37,2.57,80.4
TR00023,2015,2016,Dokuz Eylul University ,Konya,Engineering,Male,No,High,No,30.3,1.7,0.726,8.16,2.96,100.0
TR00024,2015,2018,Gazi University,Adana,NA,Male,yes,Low,No ,14.5,3.1,0.902,6.39,2.7,81.3
TR00025,2016,2019,Gazi University,Konya,Education,Female,No,Middle,No,9.6,0.3,0.877,6.24,2.97,82.1
TR00026,2015,2015,Koc University,Istambul,Engineering,Male,No,Middle,No,19.8,2.2,0.946,6.43-,3.1,95.8
TR00027,2016,2018,Bogazici University,Istanbul,Law,Male,No,Middle,No,13.6,0.2,0.858,9.16,3.13,97.8
TR00028,2015,2016,ITU,Gaziantep,Psychology,Female, No,High,No,15.1,3.4,0.789,6.09,3.14,99.2
TR00029,2018,2020,Ankara University,NA,Law,Male,No,High,No,16.8,1.1,0.861,7.18,3.41,100.0
TR00030,2015,2019,Ankara University,Trabzon,Architecture,Female,Yes,Middle,No,22.1,0.9,0.814,5.98,3.38,97.9
TR00031,2017,2018,METU,ankara,Architecture,Female,No,Low,No,27.2,1.6,0.889,5.96,2.95,100.0
TR00032,2015,2015,Bilkent University,Samsun,Business,Male,Yes,High,No,15.4,2.3,0.947,5.8,3.95,100.0
TR00033,2015,2015,Koc University , Eskisehir,Economics,Male#,No,Low,No,18.0,3.1,NA,7.25,3.3,93.8
TR00034,2015,2017,Bilkent University, Mersin,Architecture,Male,No,High,No,14.5,1.0,0.961,6.98,2.55,91.7
TR00035,2015,2017,Hacettepe University,Kayseri,Computer Science,male,No,Middle,Yes,18.0,2.7,0.865,5.85,2.98,93.2
TR00036,2017,2021,Istanbul University,Konya,Engineering,Male,No,Low,Yes,18.9,3.8,0.771,7.42,1.79,75.0
TR00037,2015,2016,Dokuz Eylul University,Adana,Engineering,Male,No,Middle,Yes,23.5,1.7,0.824,7.37,2.08,94.2
TR00038,2017,2018,Yildiz Technical University, Istanbul, Law, Female,No,Low,No,14.6,0.0,0.844,7.43,2.42,68.1
TR00039,2015,2018,ITU,Istanbul,Architecture,Female,No,Low,Yes,13.0,3.4,0.772,7.84,2.17,79.8
TR00040,2020,2021,Ege University,Ankara,Psychology,Female,No,Middle,No,20.3,0.3,0.973,6.65,2.76,91.3
TR00041,2016,2020,Yildiz Technical University,Adana,Computer Science,Female,No, Low,Yes,31.9,3.9,0.811,6.59,3.02,100.0
TR00042,2016,2020, Yildiz Technical University,Diyarbakir,Enginering,Male,No,Low,No,22.9,3.9,0.753,6.58,3.22,100.0
TR00043,2021,2021,Koc University,Adana,Medicine,Female,Yes,Low,No,31.4,4.2,0.758,5.39,3.32,99.4
TR00044,2016,2020,Gazi University,Ankara,Psychology,NA,No,Middle,Yes,20.7,0.6,0.691,6.84,2.95,90.3
TR00045,2017,2017,METU,Istanbul,Engineering,Female,No,Low,Yes,22.9,2.4,0.809,6.73,2.22,89.5
TR00046,2015,2018,Ankara University,eskisehir,Medicine,Male,No,Middle,No,32.3,1.7,0.793,6.55,2.64,90.1
TR00047,2020,2021,Hacettepe University,Antalya,Engineering,Male,Yes,Low,Yes,20.8,2.4,0.817,6.96,3.02,97.9
TR00048,2017,2018,Bilkent University,Antalya,Computer Science,Male#,No,high,No,21.7,3.3,0.895,8.02,2.59,95.1
TR00049,2015,2015,Dokuz Eylul University,Ankara,Architecture,Male,Yes,High,No!,15.5,4.0,0.99,6.91,2.43,82.1
TR00050,2016,2017,Koc University,Adana,Medicine,Male,Yes ,Low,Yes,28.7,6.1,0.765,5.66,2.98,100.0
TR00051,2015,2019,METU,Kayseri,Business,Male,No,Middle,No,19.4,1.4,0.707,6.76,2.72,85.7
TR00052,2015,2017,Gazi University,Ankara,Comp. Science,Female,NO,High,No,26.1,4.6,0.963,6.65,2.99,100.0
TR00053,2021,2021,Ege University,Eskisehir,Statistics,Male,No,High,Yes,15.5,1.7,0.653,7.61,3.17,89.8
TR00054,2018,2019,Hacettepe University,Ankara,Enginering,Male,No,Middle,No,28.6,0.7,0.7,6.77,3.3,100.0
TR00055,2015,2015,Koc University,Izmir,Business,Male,No,Low,Yes,18.8,4.9,0.911,5.81,3.6,100.0
TR00056,2021,2021,Gazi University,Trabzon, Economics,Male,No,Middle,No,12.1,2.5,0.905,7.82,2.48,89.0
TR00057,2015,2016,Dokuz Eylul University,Konya,Psychology,Female,No,Middle,Yes,11.6,0.0,0.809,7.46,2.91,74.6
TR00058,2015,2018,Ankara University,Adana,Business,Male,No,Middle,No,23.3,3.7,0.816,6.93,2.9,100.0
TR00059,2015,2015,Ankara University,Samsun,Engineering,Male,No,Middle,No,18.1,1.6,0.801,7.76,2.88,100.0
TR00060,2017,2018,Koc University,Gaziantep,Computer Science,Female,No,High,Yes,22.4,1.6,0.718,7.51,2.32,79.7
TR00061,2017,2020,ANKARA UNIVERSITY,Gaziantep,Education,Male,No,High,No,16.1,2.4,0.797,6.76,2.25,73.1
